,Run,K,M,J,a,b,eig1,eig2
0,1,1,10,10,0.13419980348988658,0.055826216006323745,10,10
1,1,1,10,20,0.12138990822026764,0.03622657445822375,10,10
2,1,1,10,30,0.11824001414083908,0.031196681342829793,10,10
3,1,1,10,40,0.11754577808732428,0.03006330938956943,10,10
4,1,1,10,50,0.11587270816563519,0.027345393553186173,10,10
5,1,1,10,60,0.11384216673456013,0.024000589510881274,10,10
6,1,1,20,10,0.07371891647654301,0.03940955710507301,19,20
7,1,1,20,20,0.0656726763032416,0.02712076973872421,19,20
8,1,1,20,30,0.06292471023864789,0.022711063549241257,19,20
9,1,1,20,40,0.06176384138486,0.020805336522646604,19,20
10,1,1,20,50,0.05976034431328146,0.01746527502418025,19,20
11,1,1,20,60,0.05942647577103636,0.016899878676583047,19,20
12,1,1,30,10,0.05140080125366892,0.03009242811640661,28,30
13,1,1,30,20,0.04612234248471113,0.022126632807055,28,30
14,1,1,30,30,0.04426661318787063,0.019189603615164665,28,30
15,1,1,30,40,0.042308052621698185,0.01599881865193279,29,30
16,1,1,30,50,0.04091849168618119,0.01368068576481497,29,30
17,1,1,30,60,0.04034946072638978,0.012713808998203546,29,30
18,1,1,40,10,0.04142190061470054,0.02697003080185022,37,40
19,1,1,40,20,0.03686507457881814,0.020256777334298422,37,40
20,1,1,40,30,0.034198643843062225,0.016125687537833628,38,40
21,1,1,40,40,0.032812640482593844,0.013888141373482358,38,40
22,1,1,40,50,0.03211938164634777,0.01275158145545495,38,40
23,1,1,40,60,0.030992605684115222,0.010864521558429107,38,40
24,1,1,50,10,0.03584585367600355,0.025498969795267352,46,49
25,1,1,50,20,0.029939067827738006,0.016985008045503326,46,50
26,1,1,50,30,0.027840473355904515,0.013736001493378384,47,50
27,1,1,50,40,0.026691889854865387,0.011890801858184703,47,50
28,1,1,50,50,0.026207945216339845,0.011102296935068494,47,50
29,1,1,50,60,0.025482270179025976,0.009899807391861613,47,50
30,1,1,60,10,0.030930184482947813,0.02275837359027532,54,59
31,1,1,60,20,0.026185071866970194,0.01606159807744361,55,59
32,1,1,60,30,0.02414657573260892,0.012975568202583464,56,59
33,1,1,60,40,0.023036488551269562,0.011230632839799904,56,60
34,1,1,60,50,0.022380758132057765,0.01017113733085258,56,60
35,1,1,60,60,0.021654475153566152,0.008977943732146705,56,60
36,1,10,10,10,0.02093305577378268,0.016856169990996085,87,97
37,1,10,10,20,0.017264847103730236,0.011975405143891492,91,98
38,1,10,10,30,0.01582942769922121,0.009892759933887229,92,99
39,1,10,10,40,0.014650366980938247,0.00810138814749693,93,99
40,1,10,10,50,0.014208477640308364,0.0074031007766153165,93,99
41,1,10,10,60,0.014039436073285321,0.007136975857351959,93,99
42,1,10,20,10,0.013312291962275645,0.011947975585049408,160,188
43,1,10,20,20,0.01024487331541589,0.008219624686405282,175,194
44,1,10,20,30,0.009093094319342833,0.006671520264519863,179,196
45,1,10,20,40,0.008576467503011293,0.0059425078138517625,181,196
46,1,10,20,50,0.008076287581142746,0.005213830409861869,182,197
47,1,10,20,60,0.007809027590324603,0.00481752693770757,183,197
48,1,10,30,10,0.010629238284256489,0.009928698580668804,216,267
49,1,10,30,20,0.00796744250747702,0.006923523225448436,250,287
50,1,10,30,30,0.006879848695481729,0.005556983242729316,261,291
51,1,10,30,40,0.006396796663043962,0.00491811387145989,266,293
