,Run,K,J,eig1,eig2
0,1,40,1,9,16
1,1,40,21,29,60
2,1,40,41,31,64
3,1,40,61,31,65
4,1,40,81,32,66
5,1,40,101,32,66
6,1,40,121,32,67
7,1,40,141,32,67
8,1,10,1,5,8
9,1,10,21,14,28
10,1,10,41,15,29
11,1,10,61,15,29
12,1,10,81,15,29
13,1,10,101,15,29
14,1,10,121,15,29
15,1,10,141,15,29
16,1,1,1,4,5
17,1,1,21,10,17
18,1,1,41,10,17
19,1,1,61,10,18
20,1,1,81,10,18
21,1,1,101,10,17
22,1,1,121,10,17
23,1,1,141,10,17
24,2,40,1,9,16
25,2,40,21,29,60
26,2,40,41,31,64
27,2,40,61,31,65
28,2,40,81,32,66
29,2,40,101,32,66
30,2,40,121,32,67
31,2,40,141,32,67
32,2,10,1,5,8
33,2,10,21,14,28
34,2,10,41,15,29
35,2,10,61,15,29
36,2,10,81,15,29
37,2,10,101,15,29
38,2,10,121,15,29
39,2,10,141,15,29
40,2,1,1,4,5
41,2,1,21,10,17
42,2,1,41,10,17
43,2,1,61,10,18
44,2,1,81,10,18
45,2,1,101,10,17
46,2,1,121,10,17
47,2,1,141,10,17
48,3,40,1,9,16
49,3,40,21,29,60
50,3,40,41,31,64
51,3,40,61,31,65
52,3,40,81,32,66
53,3,40,101,32,66
54,3,40,121,32,67
55,3,40,141,32,67
56,3,10,1,5,8
57,3,10,21,14,28
58,3,10,41,15,29
59,3,10,61,15,29
60,3,10,81,15,29
61,3,10,101,15,29
62,3,10,121,15,29
63,3,10,141,15,29
64,3,1,1,4,5
65,3,1,21,10,17
66,3,1,41,10,17
67,3,1,61,10,18
68,3,1,81,10,18
69,3,1,101,10,17
70,3,1,121,10,17
71,3,1,141,10,17
72,4,40,1,9,16
73,4,40,21,29,60
74,4,40,41,31,64
75,4,40,61,31,65
76,4,40,81,32,66
77,4,40,101,32,66
78,4,40,121,32,67
79,4,40,141,32,67
80,4,10,1,5,8
81,4,10,21,14,28
82,4,10,41,15,29
83,4,10,61,15,29
84,4,10,81,15,29
85,4,10,101,15,29
86,4,10,121,15,29
87,4,10,141,15,29
88,4,1,1,4,5
89,4,1,21,10,17
90,4,1,41,10,17
91,4,1,61,10,18
92,4,1,81,10,18
93,4,1,101,10,17
94,4,1,121,10,17
95,4,1,141,10,17
96,5,40,1,9,16
97,5,40,21,29,60
98,5,40,41,31,64
99,5,40,61,31,65
100,5,40,81,32,66
101,5,40,101,32,66
102,5,40,121,32,67
103,5,40,141,32,67
104,5,10,1,5,8
105,5,10,21,14,28
